## Virus	Name	Coverage
392972710	Bacillus phage BtCS33	0.0518889790471044
58532811	Synechococcus phage S-PM2	0.0492532931504438
327409390	Brochothrix phage BL3	0.0467485953359869
215401171	Staphylococcus phage phiSauS-IPLA88	0.0443685197718938
19548987	Enterobacteria phage SfV	0.0421070029819885
66395588	Staphylococcus phage 3A	0.0399582698188243
423262092	Aeromonas phage Aes508	0.0379168200719597
722120956	Shewanella sp. phage 1_40	0.0359774156833858
302861121	Stx1 converting phage DNA	0.0341350685432515
149882781	Microbacterium phage Min1	0.0323850288401921
281306659	Pseudomonas phage phi-2	0.0307227739416766
221328618	Salmonella phage epsilon34	0.0291439977808483
9632857	Pseudoalteromonas phage PM2	0.0276446007273566
93007408	Streptomyces phage mu1_6	0.0262206799206458
514050763	Synechococcus phage S-CAM8 strain S-CAM8 06008BI06	0.024868520045107
472437437	Bacillus cereus bacteriophage vB_BceM_Bc431v3	0.0235845845273886
56694869	Bacillus phage BCJA1c	0.0223655071370197
725949806	Shigella phage Shf125875	0.0212080839723204
23455823	Vibrio phage fs1	0.0201092658143588
238801880	Streptococcus phage 5093	0.0190661508324651
418487051	Escherichia phage TL-2011c	0.0180759776255348
194303197	Mycobacterium phage Phaedrus	0.0171361185840428
712915691	Synechococcus phage S-CBP3	0.0162440735583477
372217768	Cyanophage NATL1A-7	0.0153974638195013
725948879	Staphylococcus phage Team1	0.0145940262993801
22855204	Pseudomonas phage phi13 segment L	0.0138316080975358
195982531	Sputnik virophage	0.0131081612427174
414088861	Caulobacter phage CcrRogue	0.0124217376975462
563448535	Pseudomonas phage PAK_P1	0.0117704845953331
82700933	Pseudomonas phage EL	0.011152639698515
331028054	Roseobacter phage RDJL Phi 1	0.0105665270686512
557308055	Staphylococcus phage YMC_09_04_R1988	0.0100105529383648
431810540	Helicobacter phage KHP30 DNA	0.00948320177604277
29366675	Enterobacteria phage T4	0.00898303253451234
242345571	Streptococcus phage M102	0.00850867507530484
203457352	Mycobacterium phage Rizal	0.00805882676048817
543171494	Propionibacterium phage Enoki	0.00763224920440786
526244872	Staphylococcus phage SA13	0.00722776517801738
22855216	Pseudomonas phage phi-12 segment S	0.00684425565880494
372449904	Rhodococcus phage RER2	0.00648065701963666
9632893	Streptococcus phage Sfi19	0.00613595835013453
563398432	Mycobacterium phage HanShotFirst	0.00580919890449363
530787156	Bacillus phage Troll	0.00549946566991606
281416165	Vibrio phage N4	0.00520589105010078
479336462	Mycobacterium phage Butters	0.00492765065847817
9634155	Enterobacteria phage HK97	0.00466396121611744
176120944	Enterobacteria phage G4	0.00441407854946308
530545284	Mycobacterium phage Muddy	0.00417729568327571
418489681	Salmonella phage RE-2010	0.00395294102436086
428782376	Enterobacteria phage HK225	0.00374037663186943
448260273	Escherichia phage phAPEC8	0.00353899657014423
308814351	Shigella phage SP18	0.00334822534026964
472340512	Cyanophage MED4-184	0.00316751638665558
229604924	Vibrio phage VP93	0.00299635067515414
373231359	Salmonella phage SS3e	0.00283423533936606
384519756	Enterococcus phage EF62phi	0.00268070239194688
29165635	Streptococcus phage DT1	0.00253530749786797
304373555	Enterobacteria phage RB16	0.00239762880672658
66391804	Aeromonas phage 31	0.00226726584133217
472340155	Salicola phage CGphi29	0.00214383843992294
508180789	Mycobacterium phage Phaux	0.00202698574948806
211956446	Bacillus phage AP50	0.00191636526778657
28876263	Streptococcus pyogenes phage 315.3	0.00181165193176512
414089586	Caulobacter phage CcrSwift	0.0017125372501819
408905832	Pectobacterium phage My1	0.00161872847834559
318065901	Salmonella phage ST160	0.00152994783297425
448244742	Pectobacterium phage phiTE	0.00144593174527144
327198506	Pseudoalteromonas phage H105_1	0.00136643015040472
568191240	Bacillus phage BigBertha	0.00129120581165567
45597171	Spiroplasma phage SVTS2	0.00122003367759098
712912802	Ruegeria phage DSS3-P1	0.0011527002706805
225626323	Pseudomonas phage phikF77	0.00108900310586159
712913690	Mycobacterium phage Soto	0.00102875013761854
565323596	Ralstonia phage RSM1	0.000971759234212992
730977575	Flavobacterium phage Fpv11	0.000917857677764477
310722194	Aeromonas phage phiAS4	0.000866881688941236
428782193	Enterobacteria phage HK446	0.0008186759750793
304360662	Clostridium phage phiCTP1	0.000773093300603263
22296522	Lactobacillus phage A2	0.000729994078674918
408905854	Escherichia phage vB_EcoP_GA2A	0.00068924598304638
326536847	Clostridium phage phiCD6356	0.000650723579142402
530547084	Mycobacterium phage Jabbawokkie	0.000614307973442483
326804500	Salmonella phage Vi01	0.000579886480277183
119952179	Enterobacteria phage N4	0.000547352305194808
9630566	Lactococcus phage bIL170	0.000516604244094538
509140844	Shigella phage pSf-1	0.00048754639736004
109522084	Mycobacterium phage PMC	0.000460087898263952
9633494	Enterobacteria phage Mu	0.000434142654948157
273810419	Xylella phage Xfas53	0.000409629105317827
414090365	Clostridium phage phiMMP02	0.000386469984218652
17736952	Pseudomonas phage phi8 segment L	0.000364592102296722
408905833	Propionibacterium phage P100_A	0.000343926135969117
23455719	Lactococcus phage r1t	0.000324406427960601
388570316	Staphylococcus phage TEM123	0.000305970797887806
371671060	Bacillus phage W.Ph.	0.000288560362397131
543171167	Mycobacterium phage Bane1	0.000272119364386227
326783443	Synechococcus phage Syn19	0.000256595010861513
691326850	Ralstonia phage RSY1 DNA	0.000241937319005633
414086645	Cronobacter phage vB_CsaM_GAP31	0.000228098970049295
568192042	Bacillus phage Blastoid	0.000215035170561452
712915531	Shewanella sp. phage 1_41	0.000202703520790393
20514675	Spiroplasma phage 1-C74	0.000191063889706065
9633550	Acyrthosiphon pisum bacteriophage APSE-1	0.000180078296410863
530546138	Mycobacterium phage Trouble	0.000169710797602214
530545699	Myobacteriophage Adzzy	0.000159927380785646
472339381	Synechococcus phage S-CAM1	0.000150695862951669
118725053	Staphylococcus phage phiNM3	0.000141985794443703
23455848	Streptococcus phage O1205	0.000133768367757591
32453484	Enterobacteria phage RB69	0.000126016331025856
526178202	Cellulophaga phage phi13:2	0.000118703905951934
568191047	Bacillus phage Glittering	0.000111806709971046
47566140	Gokushovirinae Fen672_31	0.000105301682425343
514051825	Mycobacterium phage Job42	9.91670145513428e-05
712913441	Shewanella sp. phage 1_4	9.33820830875642e-05
526177323	Cellulophaga phage phi48:2	8.79273873197498e-05
399498791	Salmonella phage vB_SemP_Emek	8.27844893900022e-05
109302753	Mycobacterium phage 244	7.79359577047416e-05
9630464	Bacteriophage N15	7.33653132845255e-05
161617915	Enterobacteria phage phiEcoM-GJ1	6.90569789065202e-05
422933946	Clostridium phage phiCP26F	6.4996230897799e-05
119637746	Yersinia phage Berlin	6.11691534446575e-05
422934421	Enterobacteria phage ime09	5.75625952898266e-05
509142397	Mycobacterium phage ArcherS7	5.41641286958207e-05
514051544	Alteromonas phage vB_AmaP_AD45-P1	5.09620105587145e-05
242346741	Enterobacteria phage St-1	4.79451455624014e-05
331028007	Synechococcus phage S-CBS3	4.5103051268866e-05
294661423	Klebsiella phage KP15	4.2425825045221e-05
66394949	Staphylococcus phage G1	3.99041127332163e-05
45686283	Enterobacteria phage T1	3.75290789716498e-05
418487685	Brucella phage Tb	3.52923790865985e-05
66392052	Xanthomonas phage Xp15	3.31861324686572e-05
414090442	Clostridium phage phiMMP04	3.12028973604355e-05
218457801	Pseudomonas phage SN	2.9335646981424e-05
157786393	Mycobacterium phage U2	2.75777469210154e-05
712915916	Shewanella sp. phage 1_44	2.59229337339582e-05
563397724	Mycobacterium phage PhatBacter	2.43652946758414e-05
564292548	Bacillus phage vB_BanS-Tsamsa	2.28992485193665e-05
176120924	Enterobacterio phage MS2	2.15195273951648e-05
448244584	Pseudomonas phage JBD30	2.02211596037723e-05
526177551	Cellulophaga phage phi38:1	1.89994533480845e-05
414087461	Cronobacter phage vB_CsaP_GAP52	1.78499813381967e-05
157325217	Listeria phage B025	1.67685662229793e-05
31880044	Enterobacteria phage SP6	1.57512668050721e-05
47842848	Burkholderia phage Bcep43	1.47943649981925e-05
389059862	Cronobacter phage CR3	1.38943534877534e-05
23455771	Lactobacillus phage phig1e	1.30479240577893e-05
509141026	Mycobacterium phage WIVsmall	1.22519565490821e-05
431809408	Yersinia phage phi80-18	1.15035084151869e-05
17570786	Enterobacteria phage T3	1.07998048447663e-05
481019412	Cyanophage Syn30	1.01382294202729e-05
472342987	Vibrio phage VBP32	9.51631528456337e-06
508179825	Mycobacterium phage Severus	8.93173678849538e-06
119953625	Pseudomonas phage DMS3	8.38230159395408e-06
530545054	Mycobacterium phage Whirlwind	7.86594320807717e-06
713322590	Enterobacteria phage RB27	7.38071392570532e-06
80159686	Clostridium phage c-st	6.92477815827809e-06
682123955	Bacillus phage Bobb	6.49640612852832e-06
399528633	Croceibacter phage P2559S	6.09396791140377e-06
