## Virus	Name	Coverage
682122904	Pseudomonas phage MP48	0.0108621294377994
9627425	Enterobacteria phage T7	0.0107547634524234
408905834	Propionibacterium phage P14.4	0.0106483535395809
435439265	Enterobacteria phage mEp237	0.0105428921240955
17736965	Pseudomonas phage phi8 segment S	0.0104383716833602
33770508	Yersinia phage PY54	0.0103347847470247
56692568	Pseudomonas phage B3	0.0102321238966833
9626232	Enterobacteria phage Ike	0.0101303817655656
47842848	Burkholderia phage Bcep43	0.0100295510382278
160693214	Corynebacterium phage BFK20	0.00992962445024623
530787156	Bacillus phage Troll	0.00983059478791147
326782497	Synechococcus phage S-SM1	0.00963519763709731
30027774	Rhodothermus phage RM378	0.00953881597204592
408905841	Escherichia phage P13374	0.00944330287889745
9630710	Mycoplasma phage MAV1	0.00934865139298923
712912354	Bacillus phage Waukesha92	0.00916190562852093
557308055	Staphylococcus phage YMC_09_04_R1988	0.00906979766403087
508178111	Mycobacterium phage SiSi	0.00897852393433598
82700933	Pseudomonas phage EL	0.00879845233469706
31415740	Bacillus prophage phBC6A51	0.00862163761316729
509141536	Edwardsiella phage PEi20	0.00853443515691849
431810287	Enterobacteria phage Hgal1	0.00844802730343632
460041934	Bacillus phage Eoghan	0.00836240761014933
418489303	Enterobacter phage EcP1	0.00827756968023883
712912293	Lactobacillus phage Ld3	0.0081935071623601
431809730	Staphylococcus phage StB20	0.008110213750365
327197643	Brochothrix phage A9	0.00802768318302608
374531742	Synechococcus phage S-CBS4	0.00794590924376193
472339853	Cellulophaga phage phiST	0.00786488576036412
371671319	Staphylococcus phage S24-1	0.00778460660472539
389059862	Cronobacter phage CR3	0.00770506569256931
20065963	Clostridium phage phi3626	0.00762625698318125
77999988	Lactobacillus phage Lc-Nu	0.00754817447914084
294661423	Klebsiella phage KP15	0.00747081222605564
9634948	Chlamydia phage Chp2	0.00739416431229637
526244578	Lactococcus phage phi7	0.00731822486873333
414088861	Caulobacter phage CcrRogue	0.00724298806847424
53869480	Streptomyces phage VWB	0.00716844812660348
222435670	Mycobacterium phage Phlyer	0.00709459929992258
388570523	Mycobacterium phage SWU1	0.00702143588669211
46401626	Enterobacteria phage P1	0.00694895222637489
22855216	Pseudomonas phage phi-12 segment S	0.00673552377020898
194302947	Mycobacterium phage Boomer	0.00666570333130414
422937484	Aeromonas phage vB_AsaM-56	0.00659653495176505
399528633	Croceibacter phage P2559S	0.00652801321294923
28876145	Streptococcus prophage 315.1	0.00646013273565569
17570786	Enterobacteria phage T3	0.00639288817987868
41057352	Enterobacteria phage PsP3	0.00632627424456256
212671382	Kluyvera phage Kvp1	0.00626028566735807
23455848	Streptococcus phage O1205	0.00619491722437983
157311299	Enterobacteria phage Phi1	0.0061301637299651
18249864	Enterobacteria phage phiP27	0.0060660200364338
345461828	Escherichia phage vB_EcoP_G7C	0.00600248103384982
215479924	Pseudomonas phage MP38	0.00593954164978356
428782589	Enterobacterial phage mEp213	0.00587719684907567
712915997	Synechococcus phage S-CBP4	0.00581544163360216
563397275	Pseudomonas phage PAK_P2	0.00575427104204056
168495103	Azospirillum phage Cd	0.0056936801496375
66396113	Staphylococcus phage 55	0.00563366406797739
109393216	Mycobacterium phage Catera	0.00557421794475235
327197998	Burkholderia phage KS5	0.00551533696353339
358356482	Yersinia phage phiR1-37	0.00545701634354275
472341456	Cyanophage KBS-S-2A	0.00539925133942747
399498862	Staphylococcus phage SpaA1	0.00534203724103419
81343928	Enterobacteria phage RTP	0.00528536937318506
568191581	Bacillus phage Grass	0.00522924309545494
156535141	Ralstonia phage p12J	0.00517365380194971
472340220	Cyanophage MED4-213	0.00511859692108579
408905840	Propionibacterium phage P104A	0.00506406791537084
115304210	Lactococcus phage P008	0.00501006228118562
418487144	Synechococcus phage metaG-MbCM1	0.00495657554856699
209447126	Stx2-converting phage 1717	0.00490360328099212
722142241	Idiomarinaceae phage Phi1M2-2	0.00485114107516382
157311135	Streptococcus phage P9	0.00479918456079704
9625433	Mycobacterium phage L5	0.00474772940040647
713322012	Citrobacter phage Miller	0.00469677128909535
273810419	Xylella phage Xfas53	0.00464630595434536
530787625	Pseudomonas phage MPK7	0.00459632915580763
327198269	Burkholderia phage KS14	0.00454683668509497
66395215	Staphylococcus phage 187	0.00449782436557507
712913174	Escherichia phage vB_EcoM-ep3	0.00444928805216497
564292430	Pseudomonas phage PPpW-4 DNA	0.00440122363112652
481018805	Vibrio phage helene 12B3	0.00435362701986302
281416385	Streptococcus phage Abc2	0.00430649416671691
28876263	Streptococcus pyogenes phage 315.3	0.0042598210507686
206599795	Mycobacterium phage Troll4	0.00421360368163638
476572429	Enterobacteria phage JL1	0.00416783809927739
418488446	Pseudomonas phage NH-4	0.00412252037378969
168983473	Lactococcus phage asccphi28	0.00407764660521542
418489383	Lactobacillus phage LF1	0.00403321292334502
358356470	Vibrio phage VCY-phi	0.00398921548752252
326782732	Prochlorococcus phage P-RSM4	0.00394565048645188
22855148	Bacillus phage B103	0.0039025141380044
509139223	Salmonella phage Chi	0.0038598026890272
422934005	Enterobacteria phage Bp7	0.00381751241515273
206599544	Mycobacterium phage Brujita	0.0037756396206093
209552419	Pseudomonas phage PAJU2	0.00373418063803274
326536151	Acinetobacter phage 133	0.00369313182827897
481019198	Cyanophage P-RSM1	0.00365248958023768
389060373	Clostridium phage phiCP7R	0.00361225031064705
66395187	Staphylococcus phage 66	0.00357241046390944
725949165	Caulobacter phage Cr30	0.00353296651190812
725950237	Enterobacteria phage J8-65	0.00349391495382503
448245173	Xanthomonas citri phage CP2 DNA	0.00345525231595951
208429855	Clostridium phage 39-O	0.00341697515154807
66395729	Staphylococcus phage 37	0.00337908004058513
526244466	Lactococcus phage 340	0.0033415635896448
9635478	Vibrio phage VfO4K68	0.00330442243170358
122891784	Staphylococcus phage phiETA3	0.00326765322596414
209363552	Staphylococcus phage phi2958PVL	0.00323125265767997
543170398	Mycobacterium phage Sarfire	0.0031952174379811
725948655	Staphylococcus phage MCE-2014	0.00315954430370078
526003613	Salmonella phage FSL SP-004	0.00312423001720304
29566975	Mycobacterium phage Barnyard	0.00308927136621135
472437258	Listeria phage vB_LmoM_AG20	0.00305466516363815
326782266	Synechococcus phage S-ShM2	0.00302040824741535
333798107	Clostridium phage phiCD38-2	0.00298649748032579
269838908	Morganella phage MmP1	0.00295292974983566
227811306	Thermus thermophilus phage IN93	0.00291970196792783
119953678	Staphylococcus phage CNPH82	0.00288681107093618
9630317	Enterobacteria phage Qbeta	0.00285425401938077
203463359	Mycobacterium phage Solon	0.00282202779780401
399528702	Burkholderia phage KL1	0.00279012941460777
89888094	Enterobacteria phage ID18	0.00275855590189135
9627904	Pseudomonas phage PP7	0.0027273043152904
414090130	Salmonella phage SPN19	0.00269637173381676
28876316	Streptococcus prophage 315.4	0.0026657552596992
157102938	Staphylococcus phage tp310-3	0.00263545201822508
526177653	Cellulophaga phage phi12:2	0.00260545915758286
372217655	Cyanophage P-SSP2	0.00257577384870561
242345571	Streptococcus phage M102	0.00254639328511526
479336577	Mycobacterium phage vB_MapS_FF47	0.00251731468276791
389060322	Bacillus phage PBC1	0.00248853527989988
472339167	Cyanophage S-RIM50 isolate RW_29_0704	0.00246005233687474
117676329	Burkholderia prophage phi52237	0.00243186313603118
9910036	Mycoplasma phage P1	0.0024039649815317
66392052	Xanthomonas phage Xp15	0.0023763551992123
197935853	Ralstonia phage RSB1	0.00234903113643287
422935839	Erwinia phage vB_EamP-S6	0.00232199016192859
9627507	Enterobacteria phage P4	0.0022952296656621
472339668	Rhodobacter phage RC1	0.00226874705867654
195546701	Pseudomonas phage PT2	0.00224253977294942
423261980	Acinetobacter phage YMC_09_02_B1251_ABA_BP	0.00221660526124743
318065901	Salmonella phage ST160	0.00219094099698193
200003956	Bacteroides phage B40-8	0.00216554447406543
530545356	Mycobacterium phage Bobi	0.00214041320676882
