## Virus	Name	Coverage
428782011	Enterobacteria phage HK629	0.0368472346560693
408905848	Streptomyce phage TG1	0.0330393970815026
418488446	Pseudomonas phage NH-4	0.0318567527368312
509142397	Mycobacterium phage ArcherS7	0.0307150320346031
218457801	Pseudomonas phage SN	0.0296128677534138
472339668	Rhodobacter phage RC1	0.0285489367123734
530787625	Pseudomonas phage MPK7	0.0275219584053522
155370093	Escherichia phage phiV10	0.0265306936759359
371671341	Helicobacter phage phiHP33	0.0255739434319282
563399370	Pseudomonas phage PAK_P4	0.0246505473982657
712915531	Shewanella sp. phage 1_41	0.0237593829072452
30387453	Yersinia pestis phage phiA1122	0.0228993637249924
215479976	Pseudomonas phage MP29	0.0220694389131288
408905856	Campylobacter phage CP30A	0.020495838532858
428782085	Vibrio phage vB_VpaS_MAR10	0.0197502277929026
9633494	Enterobacteria phage Mu	0.0190308390341469
428782724	Vibrio phage vB_VpaM_MAR	0.0183367818833037
435844340	Agrobacterium phage 7-7-1	0.017667195116952
712912161	Lactobacillus phage Ld25A	0.0170212457427455
448244584	Pseudomonas phage JBD30	0.0163981281084592
109302753	Mycobacterium phage 244	0.0157970630380628
282599175	Shigella phage phiSboM-AG3	0.0146581012651505
508178651	Mycobacterium phage Loser	0.0141187711790095
22855216	Pseudomonas phage phi-12 segment S	0.0135986253385628
89152533	Pseudomonas phage PA11	0.0130970048819552
472341521	Cyanophage P-RSM6	0.0126132727649888
77020112	Flavobacterium phage 11b	0.0121468130655486
282599392	Pseudomonas phage LUZ7	0.0116970303093437
472339613	Synechococcus phage S-RIP2	0.0112633488163377
52221121	Vibrio phage KSF-1phi	0.0100534388625355
508179584	Mycobacterium phage Dumbo	0.00967877974016714
9626109	Spiroplasma phage 1-R8A2B	0.00931761889262372
414089586	Caulobacter phage CcrSwift	0.00896948676440662
161617915	Enterobacteria phage phiEcoM-GJ1	0.00863392954952129
428782664	Enterobacterial phage mEp390	0.00831050868287782
118725053	Staphylococcus phage phiNM3	0.00769839499692642
119637746	Yersinia phage Berlin	0.00740889689278595
331028054	Roseobacter phage RDJL Phi 1	0.00712992365637161
229604924	Vibrio phage VP93	0.00635252073854801
408905843	Streptomyces phage SV1	0.00611207546511117
281416323	Enterococcus phage phiFL1A	0.00588042883047714
45597386	Lactococcus phage phiLC3	0.00565726995644077
47566140	Gokushovirinae Fen672_31	0.00544229855599777
281416434	Enterococcus phage phiFL4A	0.00523522458593811
31044225	Enterobacteria phage BP-4795	0.0050357679103934
448244641	Staphylococcus phage phi7401PVL DNA	0.0048436579750069
414086086	Cronobacter phage vB_CsaM_GAP161	0.00465863349140434
358356470	Vibrio phage VCY-phi	0.00448044213165292
514231540	Vibrio phage pYD38-B	0.00430884023240528
89152530	Pseudomonas phage F10	0.0041435925084337
525971974	Salmonella phage FSL SP-031	0.00398447177526859
423262453	Ralstonia phage RSS0	0.00383125868066361
526178036	Staphylococcus phage SA12	0.00368374144461783
157325284	Listeria phage B054	0.00354171560769336
526178330	Cellulophaga phage phi39:1	0.0034049837873743
682123185	Escherichia phage vB_EcoP_PhAPEC5	0.00327335544222061
712913234	Mesorhizobium phagevB_MloP_Lo5R7ANS	0.00314664664357752
571798068	Lactobacillus phage phiLdb	0.00302467985460815
9628660	Lactococcus phage c2	0.00290728371642404
563397275	Pseudomonas phage PAK_P2	0.00279429284109468
117676329	Burkholderia prophage phi52237	0.00268554761132376
195546701	Pseudomonas phage PT2	0.00258089398658609
9635165	Staphylococcus phage PVL proviral DNA	0.00248018331552523
514051739	Mycobacterium phage Jobu08	0.00238327215441784
431809730	Staphylococcus phage StB20	0.00229002209151641
560186075	Burkholderia phage JG068	0.00220029957708776
712913956	Salmonella phage 9NA	0.00211397575897009
530546427	Mycobacterium phage Contagion	0.00203092632347656
472343238	Cyanophage S-SSM4	0.00195103134147865
530545284	Mycobacterium phage Muddy	0.00187417511950749
28876202	Streptococcus prophage 315.2	0.00180024605571599
311992750	Acinetobacter phage Acj61	0.00172913650054977
479336462	Mycobacterium phage Butters	0.00166074262197892
19548987	Enterobacteria phage SfV	0.00159496427514749
38707640	Enterobacteria phage Felix 01	0.00153170487630156
203454602	Mycobacterium phage Myrna	0.00147087128086137
408905834	Propionibacterium phage P14.4	0.0014123736655065
194172859	Escherichia coli bacteriophage rv5	0.00135612541414759
45429963	Flavobacterium phage Fpv10	0.00130204300766153
326536409	Aeromonas phage 65	0.00125004591727093
13786531	Lactococcus phage TP901-1	0.00120005650145236
460042176	Bacillus phage Finn	0.00115199990626116
22855221	Pseudomonas phage phi-12 segment M	0.00110580396896432
304373555	Enterobacteria phage RB16	0.00106139912487588
356870677	Escherichia phage HK75	0.00101871831729289
327197998	Burkholderia phage KS5	0.000977696910432749
388542659	Pseudomonas phage vB_Pae-Kakheti25	0.000938272605276102
682122955	Enterobacteria phage EK99P-1	0.000900385358222061
331027904	Synechococcus phage S-CBS2	0.0008639773024657
712913174	Escherichia phage vB_EcoM-ep3	0.000828992672010319
169257155	Salmonella phage Fels-1	0.000795377728229766
299778956	Enterobacteria phage IME08	0.00076308068889869
399528538	Leuconostoc phage Lmd1	0.000732051659611122
422935113	Campylobacter phage CP21	0.00070224256751027
29134936	Pseudomonas phage phiKZ	0.000673607097254753
223869186	Pseudomonas phage phi2954 segment M	0.000646100629148867
399528895	Staphylococcus phage vB_SepiS-phiIPLA5	0.000619680179366685
525972166	Salmonella phage Jersey	0.000594304342201986
194303053	Mycobacterium phage Kostya	0.000569933234278131
326782972	Prochlorococcus phage P-HM2	0.00054652844065404
428782997	Staphylococcus phage JD007	0.000524052962764437
543171401	Propionibacterium phage PHL071N05	0.00050247116813444
17570786	Enterobacteria phage T3	0.000481748741810466
508179165	Mycobacterium phage Murphy	0.00046185263945122
481019412	Cyanophage Syn30	0.000442751042024334
