## Virus	Name	Coverage
526244816	Lactococcus phage BM13	0.0648192019691425
109521840	Mycobacterium phage Pipefish	0.0603911555557905
118725053	Staphylococcus phage phiNM3	0.0562596032050109
509140939	Staphylococcus phage StauST398-3	0.0524050953096396
713322012	Citrobacter phage Miller	0.0488094316095281
418489383	Lactobacillus phage LF1	0.0394106273948446
282599175	Shigella phage phiSboM-AG3	0.031790567976939
52221121	Vibrio phage KSF-1phi	0.0275328012700236
682123185	Escherichia phage vB_EcoP_PhAPEC5	0.0221727151445684
508179584	Mycobacterium phage Dumbo	0.0206242672845521
206599983	Mycobacterium phage Konstantine	0.0178382470029346
119637746	Yersinia phage Berlin	0.0165869244617712
530546800	Mycobacterium phage Wanda	0.0154216416213628
155370093	Escherichia phage phiV10	0.0143366023701035
109289936	Mannheimia phage phiMHaA1	0.0133263929535977
282599392	Pseudomonas phage LUZ7	0.0123859572873852
9634983	Streptococcus phage Sfi11	0.0115105738289133
428782011	Enterobacteria phage HK629	0.00993762145660444
712915531	Shewanella sp. phage 1_41	0.00923209395903673
109521437	Mycobacterium phage Wildcat	0.00857566469917856
109302753	Mycobacterium phage 244	0.00739693399158433
363542401	Stenotrophomonas phage phiSHP2	0.00686859327173031
218457801	Pseudomonas phage SN	0.00637724396554744
414089586	Caulobacter phage CcrSwift	0.0054955400081191
9629143	Chlamydia phage Chp1	0.005100610505438
281416323	Enterococcus phage phiFL1A	0.00473350101890898
408905848	Streptomyce phage TG1	0.00439229146767398
428782085	Vibrio phage vB_VpaS_MAR10	0.00407519154631795
399528838	Celeribacter phage P12053L	0.00378053213961694
157834972	Pseudomonas phage MP22	0.00350675729289247
563399598	Mycobacterium phage Bruin	0.0032524167028171
568190683	Bacillus phage Spock	0.00301615869568934
77020112	Flavobacterium phage 11b	0.00279672366223866
744692700	Enterobacteria phage P88	0.00259293791993992
572730610	Listeria phage LP-037	0.00240370797561914
326424956	Pseudomonas phage phi15	0.00222801516282604
161617915	Enterobacteria phage phiEcoM-GJ1	0.00206491063003877
418488936	Caulobacter phage phiCb5	0.00191351065726031
327197998	Burkholderia phage KS5	0.00177299227996809
238821317	Streptococcus phage PH10	0.00164258920069605
408905835	Propionibacterium phage P100_1	0.00152158796976412
326536409	Aeromonas phage 65	0.00140932441783143
89155211	Pseudomonas phage M6	0.00130518032403888
530787450	Staphylococcus phage vB_SauM_Remus	0.00120858030452935
304360662	Clostridium phage phiCTP1	0.00111898890709384
9632937	Streptococcus phage Sfi21	0.00103590789859211
472438181	Leuconostoc phage P793	0.000958873732641654
557307672	Salmonella phage SETP13	0.000887455185861694
414088509	Caulobacter phage CcrMagneto	0.000821251151702356
9625381	Enterobacteria phage I2-2	0.000759888581587118
514231471	Rhizobium phage RR1-A	0.000703020563750673
109392186	Mycobacterium phage Llij	0.000650324530768081
372217655	Cyanophage P-SSP2	0.000601500587346361
571798068	Lactobacillus phage phiLdb	0.000556269950489205
682122904	Pseudomonas phage MP48	0.000514373494651172
418489035	Haemophilus phage SuMu	0.000475570394971853
509139223	Salmonella phage Chi	0.000439636862124824
509141289	Mycobacterium phage Chy4	0.000406364962732657
28876145	Streptococcus prophage 315.1	0.000375561519689507
431809518	Pseudomonas phage PaP1	0.000347047087098467
538397808	Staphylococcus phage JS01	0.000320654994873457
82700933	Pseudomonas phage EL	0.000296230458376336
22855198	Pseudomonas phage phi-13 segment M	0.000273629748760561
460042176	Bacillus phage Finn	0.000252719419974237
557307628	Cyanophage PP	0.000233375588639082
302393080	Mycobacterium phage Xeno	0.000215483263268712
195546530	Rhizobium phage 16-3	0.000198935719520816
725948879	Staphylococcus phage Team1	0.000183633918394165
192823813	Mycobacterium phage DD5	0.000169485964483992
691326850	Ralstonia phage RSY1 DNA	0.000156406601598862
330858351	Propionibacterium phage PAS50 endogenous virus	0.000144316743219561
48696682	Vibrio phage VP5	0.000133143035446592
17975105	Vibrio phage K139	0.000122817450238194
509141536	Edwardsiella phage PEi20	0.000113276906886129
472340688	Pseudoalteromonas phage pYD6-A	0.000104462919812432
712915315	Yersinia phage vB_YenP_AP5	9.63212708974719e-05
414087713	Caulobacter phage phiCbK	8.88017046685859e-05
189043152	Mycobacterium phage Brocalys	8.18576447897446e-05
682123955	Bacillus phage Bobb	7.54459303966846e-05
418487627	Escherichia phage TL-2011b	6.95265709191347e-05
149882900	Burkholderia phage BcepNY3	6.40625181226333e-05
80159686	Clostridium phage c-st	5.90194541873543e-05
9964607	Roseophage SIO1	5.43655947207299e-05
399528758	Salmonella phage vB_SosS_Oslo	5.00715056748236e-05
71834082	Enterobacteria phage JK06	4.61099332087051e-05
170783609	Enterobacteria phage Min27	4.24556456008143e-05
399528702	Burkholderia phage KL1	3.90852863767786e-05
66395450	Staphylococcus phage 2638A	3.59772378746306e-05
682124203	Escherichia phage bV_EcoS_AHP42	3.31114945221205e-05
563399082	Mycobacterium phage Bernardo	3.04695451500776e-05
560186125	Ralstonia phage RSB3 DNA	2.80342637117625e-05
418489788	Lactobacillus phage Sha1	2.57898078210857e-05
388542659	Pseudomonas phage vB_Pae-Kakheti25	2.3721524562648e-05
238695156	Enterobacteria phage JS10	2.18158630639582e-05
389060148	Halocynthia phage JM-2012	2.00602933550948e-05
423262453	Ralstonia phage RSS0	1.84432310736476e-05
91214206	Burkholderia phage BcepNazgul	1.69539676031654e-05
428765613	Enterobacteria phage mEpX2	1.55826052616848e-05
431810441	Erwinia amylovora phage phiEa100	1.4319997183358e-05
203460520	Mycobacterium phage Spud	1.3157691560859e-05
327197643	Brochothrix phage A9	1.20878799392474e-05
509141363	Streptomyces phage Zemlya	1.11033492734082e-05
428782446	Enterobacteria phage vB_EcoS_Rogue1	1.01974374811825e-05
38707640	Enterobacteria phage Felix 01	9.36399224293487e-06
725950513	Enterococcus phage EFC-1	8.59733281567608e-06
197261417	Pseudomonas phage LMA2	7.89221464604413e-06
41057352	Enterobacteria phage PsP3	7.24379658153214e-06
28876202	Streptococcus prophage 315.2	6.6476104934036e-06
219681259	Erwinia phage phiEa21-4	6.09953313782748e-06
431810493	Cronobacter phage ENT47670	5.59576009396028e-06
229604969	Lactococcus phage P087	5.13278162905879e-06
422935762	Helicobacter phage 1961P	4.70736035128373e-06
388483859	Prochlorococcus phage P-SSP7	4.31651052070104e-06
431808936	Yersinia phage phiR1-RT	3.95747889815556e-06
66394870	Staphylococcus phage 85	3.62772702022507e-06
530545183	Myobacteriophage Papyrus	3.3249147964052e-06
125999960	Erwinia amylovora phage Era103	3.0468853320671e-06
273809542	Aggregatibacter phage S1249	2.79165088760678e-06
326632894	Enterobacteria phage SPC35	2.55737989060416e-06
302861121	Stx1 converting phage DNA	2.34238492376121e-06
31044225	Enterobacteria phage BP-4795	2.14511161692532e-06
526244466	Lactococcus phage 340	1.96412837665187e-06
730977575	Flavobacterium phage Fpv11	1.7981168915479e-06
530546042	Mycobacterium phage KayaCho	1.64586335608916e-06
169257155	Salmonella phage Fels-1	1.5062503597408e-06
408905841	Escherichia phage P13374	1.37824939205762e-06
29565879	Mycobacterium phage Cjw1	1.26091391801384e-06
543171355	Propionibacterium phage PHL010M04	1.15337298113359e-06
514050763	Synechococcus phage S-CAM8 strain S-CAM8 06008BI06	1.05482529507889e-06
89152532	Pseudomonas phage 119X	9.64533787218228e-07
543171262	Propionibacterium phage PHL112N00	8.81820560361608e-07
28876316	Streptococcus prophage 315.4	8.06062241320056e-07
32128412	Xanthomonas phage Xp10	7.36685687244085e-07
418488152	Lactobacillus phage c5	6.73164022827003e-07
9628600	Haemophilus phage HP1	6.1501298343796e-07
