## Virus	Name	Coverage
31044225	Enterobacteria phage BP-4795	0.0930090256290893
725915949	Staphylococcus phage phiSa119	0.0845154382094426
431810540	Helicobacter phage KHP30 DNA	0.0767830859243718
9632893	Streptococcus phage Sfi19	0.0697450387316677
744692834	Salmonella phage LSPA1	0.0633401369489032
29028667	Staphylococcus phage CNPx	0.0522110974668635
194303197	Mycobacterium phage Phaedrus	0.0430045517088512
22855198	Pseudomonas phage phi-13 segment M	0.039017983354647
197935853	Ralstonia phage RSB1	0.0353941237716368
176120944	Enterobacteria phage G4	0.0321005983893643
238801880	Streptococcus phage 5093	0.0291078662602028
23455823	Vibrio phage fs1	0.0239193479703572
423262092	Aeromonas phage Aes508	0.0216765606809309
563399183	Mycobacterium phage Jovo	0.019640173766578
530786827	Myobacteriophage Goku	0.0177915522175975
38229112	Pseudomonas phage D3112	0.0145911713659764
557307474	Vibrio phage VPUSM 8	0.013209830878026
530787156	Bacillus phage Troll	0.0119568425370011
722120956	Shewanella sp. phage 1_40	0.0097901656337475
526244466	Lactococcus phage 340	0.00885612206304701
526244872	Staphylococcus phage SA13	0.00800954518239341
38707890	Burkholderia phage phi1026b	0.00724239917796298
332672294	Vibrio phage CTX chromosome I	0.00654737222783941
418489681	Salmonella phage RE-2010	0.00534767007362506
414088861	Caulobacter phage CcrRogue	0.00483144294479606
56694869	Bacillus phage BCJA1c	0.0043641289705593
356870736	Pediococcus phage clP1	0.00394118107347614
388570360	Escherichia phage bV_EcoS_AKFV33	0.00355846671563831
17975105	Vibrio phage K139	0.00321223085423664
472437437	Bacillus cereus bacteriophage vB_BceM_Bc431v3	0.00289906214045526
388684650	Pseudomonas phage Lu11	0.00261586208362629
392972710	Bacillus phage BtCS33	0.00235981692591253
66395588	Staphylococcus phage 3A	0.0021283719942027
203457352	Mycobacterium phage Rizal	0.00191920831555963
543171494	Propionibacterium phage Enoki	0.00173022130059778
22855216	Pseudomonas phage phi-12 segment S	0.00155950131571357
195982531	Sputnik virophage	0.00126609403875059
327197843	Lactococcus phage 949	0.0011404106706826
418487144	Synechococcus phage metaG-MbCM1	0.00102697411278572
530545284	Mycobacterium phage Muddy	0.000924613478582863
472341815	Cyanophage MED4-117	0.000832267670493202
479336462	Mycobacterium phage Butters	0.000748975288455154
29366675	Enterobacteria phage T4	0.000673865447369972
460042674	Synechococcus phage S-RIM8 A.HR1	0.000606149423213075
49248530	Salmonella phage 118970_sal2	0.000545113054579185
66395508	Staphylococcus phage 42e	0.000490109832762054
568191126	Bacillus phage Staley	0.000440554619268237
374531645	Pseudomonas phage vB_PaeS_PMG1	0.000395917934971388
26114633	Vibrio phage VSK	0.000355720769969644
401723014	Burkholderia phage DC1	0.00031952986765131
428765613	Enterobacteria phage mEpX2	0.000286953440537629
422934269	Enterobacteria phage IME10	0.000257637279187605
66396191	Staphylococcus phage 29	0.000231261218847614
526178379	Cellulophaga phage phi12a:1	0.000207535931634595
326782732	Prochlorococcus phage P-RSM4	0.000186200014880474
157311135	Streptococcus phage P9	0.000167017348859509
194186868	Bacillus phage phi29	0.000149774699490233
47777280	Burkholderia phage Bcep1	0.000134279543768439
431809464	Bacillus phage vB_BtS_BMBtp2	0.000120358097664572
222435670	Mycobacterium phage Phlyer	0.000107853528023972
273809542	Aggregatibacter phage S1249	9.66243316561903e-05
47566140	Gokushovirinae Fen672_31	8.65428663034813e-05
408905850	Enterobacteria phage HX01	7.74940195509139e-05
682122904	Pseudomonas phage MP48	6.93740029924749e-05
423261846	Salmonella phage vB_SenS-Ent1	6.20892601095134e-05
472437937	Aeromonas phage Aes012	5.55554773592437e-05
326536409	Aeromonas phage 65	4.96966889204987e-05
125999960	Erwinia amylovora phage Era103	4.44444664094243e-05
66395807	Staphylococcus phage EW	3.97371856665825e-05
273810554	Sodalis phage SO-1	3.55193634356503e-05
530546138	Mycobacterium phage Trouble	3.17410574086294e-05
122891784	Staphylococcus phage phiETA3	2.83573237088085e-05
530545796	Mycobacterium phage DrDrey	2.53277264257203e-05
84662593	Xanthomonas phage OP1	2.26158943106864e-05
472340220	Cyanophage MED4-213	2.01891201914986e-05
422935955	Bacillus phage BCD7	1.80179990742462e-05
563398672	Mycobacterium phage Artemis2UCLA	1.60761012728267e-05
431809857	Burkholderia phage BcepMigl	1.43396772455356e-05
448260273	Escherichia phage phAPEC8	1.2787391126283e-05
712916213	Enterococcus phage vB_Efae230P-4	1.14000802181674e-05
134288739	Burkholderia phage phiE202 chromosome	1.01605379718149e-05
543171167	Mycobacterium phage Bane1	9.05331820235404e-06
408905855	Bacillus phage BCP78	8.06455850919174e-06
695227992	Vibrio phage eugene 12A10	7.18182105379744e-06
372199367	Escherichia phage vB_EcoM_CBA120	6.39394902419598e-06
299778956	Enterobacteria phage IME08	5.69093727240503e-06
45597386	Lactococcus phage phiLC3	5.06381575405693e-06
448244742	Pectobacterium phage phiTE	4.50454452923157e-06
388570767	Acinetobacter bacteriophage AP22	4.00591920129078e-06
389060148	Halocynthia phage JM-2012	3.56148577733389e-06
435844340	Agrobacterium phage 7-7-1	3.16546403078224e-06
56693048	Lactobacillus phage LP65	2.81267853445141e-06
712913690	Mycobacterium phage Soto	2.4984966121088e-06
20514675	Spiroplasma phage 1-C74	2.21877252869045e-06
238695156	Enterobacteria phage JS10	1.96979730475018e-06
472339613	Synechococcus phage S-RIP2	1.74825359995637e-06
431810287	Enterobacteria phage Hgal1	1.55117516410582e-06
543171355	Propionibacterium phage PHL010M04	1.37591040270417e-06
18071213	Sinorhizobium phage PBC5	1.22008964813827e-06
89158250	Pseudomonas phage F8	1.08159576726426e-06
46401626	Enterobacteria phage P1	9.58537772243606e-07
526177866	Cellulophaga phage phi19:1	8.4922713403184e-07
431810244	Staphylococcus phage phi5967PVL DNA	7.52156527380475e-07
446730228	Lactobacillus phage AQ113	6.65980762844698e-07
730984989	Escherichia phage Av-05	5.89499685361433e-07
66396113	Staphylococcus phage 55	5.21642840715577e-07
9635581	Bacteriophage D3	4.61455730864867e-07
530547290	Mycobacterium phage Crossroads	4.08087496844292e-07
200003956	Bacteroides phage B40-8	3.60779883999269e-07
448244686	Pseudomonas phage JBD88a	3.18857358766424e-07
356870838	Rhodobacter phage RcapMu	2.81718259279906e-07
530546981	Mycobacteriophage Daenerys	2.48826873864253e-07
423261980	Acinetobacter phage YMC_09_02_B1251_ABA_BP	2.19706352103791e-07
228860932	Enterobacteria phage RB51	1.93932362764012e-07
269838908	Morganella phage MmP1	1.71127421482442e-07
203458877	Mycobacterium phage ScottMcG	1.50955818936076e-07
77020191	Bacillus phage Aurora	1.33119087211662e-07
561133277	Staphylococcus phage S25-3 DNA	1.17351948428597e-07
472437218	Leuconostoc phage phiLN04	1.03418695359255e-07
20065963	Clostridium phage phi3626	9.11099589194002e-08
414090203	Streptococcus phage phiNJ2	8.02398220171269e-08
